corridor,frame,time_sec,rat_x,rat_y,midpoint_x,midpoint_y
1,721,28.84,250,61,255,73
4,1023,40.92,130,231,131,253
3,1271,50.84,223,441,252,442
2,1367,54.68,376,293,374,269
1,1516,60.64,283,70,255,73
4,1747,69.88,133,233,131,253
1,2037,81.48,227,64,255,73
2,2341,93.64,376,243,374,269
3,2482,99.28,277,447,252,442
4,2564,102.56,132,274,131,253
1,2795,111.8,234,64,255,73
2,2998,119.92,375,244,374,269
3,3133,125.32,271,439,252,442
4,3284,131.36,131,275,131,253
1,3416,136.64,229,65,255,73
2,3634,145.36,377,243,374,269
3,3830,153.2,276,450,252,442
4,4098,163.92,134,276,131,253
1,4232,169.28,235,64,255,73
4,4651,186.04,129,227,131,253
3,4921,196.84,232,440,252,442
2,5085,203.4,377,293,374,269
1,5414,216.56,282,72,255,73
4,5566,222.64,134,228,131,253
3,5657,226.28,231,439,252,442
2,5845,233.8,376,298,374,269
1,6270,250.8,283,69,255,73
4,6464,258.56,135,225,131,253
1,6907,276.28,230,65,255,73
2,7010,280.4,376,243,374,269
3,7126,285.04,278,447,252,442
4,7476,299.04,130,281,131,253
1,7835,313.4,227,66,255,73
2,7969,318.76,377,242,374,269
3,8425,337.0,248,436,252,442
